TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
POR,POR vs. NOP,2022-03-30,L,36,82,28,65,0.4307692307692308,12,34,0.35294117647058826,14,17,0.8235294117647058,12,21,33,20,17,5,4,19,-3,1
PHX,PHX @ GSW,2022-03-30,W,36,77,28,70,0.4,6,25,0.24,15,20,0.75,9,25,34,16,12,8,1,9,2,0
ORL,ORL @ WAS,2022-03-30,L,36,79,30,75,0.4,8,27,0.2962962962962963,11,13,0.8461538461538461,9,27,36,18,8,5,4,16,-7,0
OKC,OKC vs. ATL,2022-03-30,L,36,89,31,67,0.4626865671641791,16,35,0.45714285714285713,11,17,0.6470588235294118,7,22,29,25,14,4,2,14,-26,1
NYK,NYK vs. CHA,2022-03-30,L,36,83,29,64,0.453125,13,33,0.3939393939393939,12,17,0.7058823529411765,10,26,36,18,10,3,5,13,-8,1
NOP,NOP @ POR,2022-03-30,W,36,85,29,58,0.5,3,18,0.16666666666666666,24,30,0.8,8,23,31,17,11,13,4,14,3,0
MIN,MIN @ TOR,2022-03-30,L,36,82,30,69,0.43478260869565216,8,22,0.36363636363636365,14,18,0.7777777777777778,16,25,41,21,18,5,9,14,-15,0
MIA,MIA @ BOS,2022-03-30,W,36,79,30,61,0.4918032786885246,11,26,0.4230769230769231,8,12,0.6666666666666666,3,25,28,21,15,7,3,18,-4,0
MEM,MEM @ SAS,2022-03-30,W,36,93,37,69,0.5362318840579711,13,29,0.4482758620689655,6,9,0.6666666666666666,6,22,28,22,10,7,5,9,7,0
IND,IND vs. DEN,2022-03-30,L,36,91,36,74,0.4864864864864865,10,29,0.3448275862068966,9,12,0.75,14,18,32,25,8,8,4,12,0,1
HOU,HOU vs. SAC,2022-03-30,L,36,103,37,71,0.5211267605633803,11,31,0.3548387096774194,18,24,0.75,7,25,32,19,9,4,3,22,-1,1
GSW,GSW vs. PHX,2022-03-30,L,36,75,29,65,0.4461538461538462,12,28,0.42857142857142855,5,8,0.625,7,30,37,21,17,6,3,17,-2,1
DEN,DEN @ IND,2022-03-30,W,36,91,38,62,0.6129032258064516,10,23,0.43478260869565216,5,5,1.0,4,22,26,26,13,6,3,11,0,0
DAL,DAL @ CLE,2022-03-30,W,36,100,38,66,0.5757575757575758,13,31,0.41935483870967744,11,13,0.8461538461538461,5,22,27,23,7,5,5,12,11,0
CLE,CLE vs. DAL,2022-03-30,L,36,89,35,66,0.5303030303030303,10,21,0.47619047619047616,9,14,0.6428571428571429,7,21,28,20,10,3,2,12,-11,1
CHA,CHA @ NYK,2022-03-30,W,36,91,36,68,0.5294117647058824,9,26,0.34615384615384615,10,12,0.8333333333333334,5,23,28,30,7,7,1,13,8,0
BOS,BOS vs. MIA,2022-03-30,L,36,83,29,63,0.4603174603174603,10,29,0.3448275862068966,15,20,0.75,7,25,32,23,13,9,1,14,4,1
ATL,ATL @ OKC,2022-03-30,W,36,115,41,72,0.5694444444444444,15,30,0.5,18,20,0.9,5,31,36,23,7,9,4,13,26,0
WAS,WAS vs. CHI,2022-03-29,L,36,73,29,58,0.5,4,18,0.2222222222222222,11,14,0.7857142857142857,4,27,31,17,11,5,5,12,-2,1
UTA,UTA @ LAC,2022-03-29,L,36,94,34,61,0.5573770491803278,12,28,0.42857142857142855,14,26,0.5384615384615384,8,22,30,22,8,5,4,17,12,0
PHI,PHI vs. MIL,2022-03-29,L,36,89,32,63,0.5079365079365079,11,29,0.3793103448275862,14,17,0.8235294117647058,2,28,30,22,8,6,3,14,8,1
MIL,MIL @ PHI,2022-03-29,W,36,81,31,70,0.44285714285714284,10,31,0.3225806451612903,9,12,0.75,9,27,36,20,10,5,2,15,-8,0
LAL,LAL @ DAL,2022-03-29,L,36,84,30,65,0.46153846153846156,9,29,0.3103448275862069,15,18,0.8333333333333334,10,23,33,17,8,4,2,17,-29,0
LAC,LAC vs. UTA,2022-03-29,W,36,82,26,57,0.45614035087719296,10,24,0.4166666666666667,20,23,0.8695652173913043,6,17,23,11,9,5,3,19,-12,1
DET,DET @ BKN,2022-03-29,L,36,94,37,73,0.5068493150684932,12,26,0.46153846153846156,8,10,0.8,13,18,31,23,12,8,3,14,-2,0
DAL,DAL vs. LAL,2022-03-29,W,36,113,40,70,0.5714285714285714,17,36,0.4722222222222222,16,19,0.8421052631578947,10,25,35,22,4,4,1,10,29,1
CHI,CHI @ WAS,2022-03-29,W,36,75,30,65,0.46153846153846156,4,15,0.26666666666666666,11,13,0.8461538461538461,3,22,25,17,6,7,0,11,2,0
BKN,BKN vs. DET,2022-03-29,W,36,96,34,60,0.5666666666666667,12,22,0.5454545454545454,16,18,0.8888888888888888,6,24,30,22,14,8,4,15,2,1
