index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season,PTS/Q
20,GSW,GSW @ NOP,2022-04-10,W,36,89,33,59,0.559322033898305,13,24,0.5416666666666666,10,12,0.8333333333333334,4,26,30,25,14,4,2,12,13,0,NOP,76,31,75,0.4133333333333333,7,26,0.2692307692307692,7,10,0.7,14,22,36,17,10,7,0,14,73.02099999999999,73.02099999999999,97.3613333333333,121.88274605935281,104.07964832034622,21,2022-04-10,24,29.666666666666668
21,DET,DET @ PHI,2022-04-10,L,36,88,31,64,0.484375,9,25,0.36,17,25,0.68,11,18,29,21,14,4,3,15,-5,0,PHI,93,35,62,0.5645161290322581,4,15,0.2666666666666666,19,21,0.9047619047619048,6,24,30,19,10,11,5,21,75.04003571428572,75.04003571428572,100.05338095238096,117.27073309914087,123.93384293431933,-12,2022-04-10,24,29.333333333333332
22,DEN,DEN vs. LAL,2022-04-10,L,36,108,38,67,0.5671641791044776,12,31,0.3870967741935484,20,24,0.8333333333333334,6,24,30,26,10,7,7,22,13,1,LAL,95,29,67,0.4328358208955223,8,29,0.2758620689655172,29,34,0.8529411764705882,12,21,33,15,9,3,4,17,77.87555555555554,77.87555555555554,103.83407407407404,138.68279876726405,121.98949891564892,0,2022-04-10,24,36.0
23,DAL,DAL vs. SAS,2022-04-10,W,36,97,34,64,0.53125,15,28,0.5357142857142857,14,19,0.7368421052631579,6,27,33,25,12,5,2,12,15,1,SAS,82,29,68,0.4264705882352941,6,22,0.2727272727272727,18,18,1.0,7,24,31,16,8,12,2,13,75.89426470588235,75.89426470588235,101.19235294117647,127.80939426175348,108.04505494292562,10,2022-04-10,24,32.333333333333336
25,CHI,CHI @ MIN,2022-04-10,W,36,97,35,66,0.5303030303030303,8,17,0.4705882352941176,19,24,0.7916666666666666,15,27,42,16,20,7,2,15,10,0,MIN,87,32,66,0.4848484848484848,10,27,0.3703703703703703,13,17,0.7647058823529411,4,14,18,22,11,7,8,16,78.77445494994438,78.77445494994438,105.03260659992584,123.13636452532317,110.44189395570223,4,2022-04-10,24,32.333333333333336
26,CHA,CHA vs. WAS,2022-04-10,W,36,89,35,69,0.5072463768115942,11,22,0.5,8,12,0.6666666666666666,10,27,37,27,14,4,5,15,7,1,WAS,82,33,68,0.4852941176470588,5,18,0.2777777777777778,11,20,0.55,11,22,33,19,7,8,3,13,74.29523026315789,74.29523026315789,99.06030701754385,119.79234694442293,110.3704769600301,16,2022-04-10,24,29.666666666666668
28,BKN,BKN vs. IND,2022-04-10,W,36,103,41,64,0.640625,6,16,0.375,15,17,0.8823529411764706,7,33,40,26,15,4,6,10,9,1,IND,94,36,82,0.4390243902439024,14,35,0.4,8,11,0.7272727272727273,9,14,23,24,5,12,1,17,79.2247619047619,79.2247619047619,105.63301587301586,130.0098574279326,118.6497727983074,8,2022-04-10,24,34.333333333333336
29,ATL,ATL @ HOU,2022-04-10,W,36,102,39,70,0.5571428571428572,16,26,0.6153846153846154,8,12,0.6666666666666666,10,29,39,24,8,2,2,12,11,0,HOU,91,34,69,0.4927536231884058,14,35,0.4,9,13,0.6923076923076923,5,20,25,19,3,4,4,11,71.71799019607843,71.71799019607843,95.62398692810457,142.22372897111302,126.88587584677731,16,2022-04-10,24,34.0
30,SAS,SAS vs. GSW,2022-04-09,L,36,71,23,59,0.3898305084745763,7,23,0.3043478260869565,18,24,0.75,4,27,31,14,10,4,2,18,-7,1,GSW,78,27,65,0.4153846153846154,6,26,0.2307692307692307,18,23,0.782608695652174,12,28,40,18,9,7,1,16,72.23711538461538,72.23711538461538,96.31615384615384,98.28742416134898,107.97773358570733,-6,2022-04-09,24,23.666666666666668
32,PHI,PHI vs. IND,2022-04-09,W,36,100,38,67,0.5671641791044776,7,21,0.3333333333333333,17,22,0.7727272727272727,10,21,31,27,10,11,2,16,10,1,IND,90,32,61,0.5245901639344263,9,19,0.4736842105263157,17,23,0.7391304347826086,6,17,23,23,13,6,5,16,75.30592592592592,75.30592592592592,100.40790123456789,132.79167445383277,119.51250700844949,13,2022-04-09,24,33.333333333333336
36,IND,IND @ PHI,2022-04-09,L,36,90,32,61,0.5245901639344263,9,19,0.4736842105263157,17,23,0.7391304347826086,6,17,23,23,13,6,5,16,-10,0,PHI,100,38,67,0.5671641791044776,7,21,0.3333333333333333,17,22,0.7727272727272727,10,21,31,27,10,11,2,16,75.30592592592592,75.30592592592592,100.40790123456789,119.51250700844949,132.79167445383277,-13,2022-04-09,24,30.0
37,GSW,GSW @ SAS,2022-04-09,W,36,78,27,65,0.4153846153846154,6,26,0.2307692307692307,18,23,0.782608695652174,12,28,40,18,9,7,1,16,7,0,SAS,71,23,59,0.3898305084745763,7,23,0.3043478260869565,18,24,0.75,4,27,31,14,10,4,2,18,72.23711538461538,72.23711538461538,96.31615384615384,107.97773358570733,98.28742416134898,6,2022-04-09,24,26.0
39,UTA,UTA vs. PHX,2022-04-08,L,36,92,32,68,0.4705882352941176,10,29,0.3448275862068966,18,26,0.6923076923076923,13,25,38,18,8,8,4,13,17,1,PHX,75,32,71,0.4507042253521127,4,13,0.3076923076923077,7,8,0.875,9,21,30,18,11,6,2,19,72.91279411764707,72.91279411764707,97.21705882352941,126.1781297964732,102.8626058123423,-6,2022-04-08,24,30.666666666666668
40,TOR,TOR vs. HOU,2022-04-08,W,36,85,30,72,0.4166666666666667,6,23,0.2608695652173913,19,20,0.95,10,19,29,14,7,8,3,13,-10,1,HOU,95,36,64,0.5625,9,25,0.36,14,15,0.9333333333333332,6,28,34,20,14,4,3,14,75.99164210526317,75.99164210526317,101.32218947368422,111.8544061493743,125.0137480493007,2,2022-04-08,24,28.333333333333332
42,PHX,PHX @ UTA,2022-04-08,W,36,75,32,71,0.4507042253521127,4,13,0.3076923076923077,7,8,0.875,9,21,30,18,11,6,2,19,-17,0,UTA,92,32,68,0.4705882352941176,10,29,0.3448275862068966,18,26,0.6923076923076923,13,25,38,18,8,8,4,13,72.91279411764707,72.91279411764707,97.21705882352941,102.8626058123423,126.1781297964732,6,2022-04-08,24,25.0
43,OKC,OKC @ LAL,2022-04-08,L,36,82,33,65,0.5076923076923077,6,22,0.2727272727272727,10,13,0.7692307692307693,8,27,35,16,13,4,2,19,-8,0,LAL,90,31,62,0.5,7,24,0.2916666666666667,21,28,0.75,5,23,28,18,7,7,3,14,74.69052923387098,74.69052923387098,99.58737231182796,109.78634217899517,120.49720483060445,-19,2022-04-08,24,27.333333333333332
46,MIA,MIA vs. ATL,2022-04-08,W,36,91,34,60,0.5666666666666667,9,21,0.4285714285714285,14,18,0.7777777777777778,4,21,25,17,11,5,1,15,4,1,ATL,87,32,68,0.4705882352941176,6,24,0.25,17,19,0.8947368421052632,11,23,34,13,10,6,0,17,73.21863425925926,73.21863425925926,97.62484567901234,124.28530103112665,118.82221087591229,4,2022-04-08,24,30.333333333333332
47,LAL,LAL vs. OKC,2022-04-08,W,36,90,31,62,0.5,7,24,0.2916666666666667,21,28,0.75,5,23,28,18,7,7,3,14,8,1,OKC,82,33,65,0.5076923076923077,6,22,0.2727272727272727,10,13,0.7692307692307693,8,27,35,16,13,4,2,19,74.69052923387098,74.69052923387098,99.58737231182796,120.49720483060445,109.78634217899517,19,2022-04-08,24,30.0
48,HOU,HOU @ TOR,2022-04-08,L,36,95,36,64,0.5625,9,25,0.36,14,15,0.9333333333333332,6,28,34,20,14,4,3,14,10,0,TOR,85,30,72,0.4166666666666667,6,23,0.2608695652173913,19,20,0.95,10,19,29,14,7,8,3,13,75.99164210526317,75.99164210526317,101.32218947368422,125.0137480493007,111.8544061493743,-2,2022-04-08,24,31.666666666666668
51,CLE,CLE @ BKN,2022-04-08,L,36,88,31,61,0.5081967213114754,7,22,0.3181818181818182,19,24,0.7916666666666666,7,17,24,14,6,3,2,16,5,0,BKN,83,31,70,0.4428571428571428,7,23,0.3043478260869565,14,14,1.0,10,24,34,22,9,3,7,19,69.24802867383512,69.24802867383512,92.33070489844683,127.07942981956708,119.85900767072806,-11,2022-04-08,24,29.333333333333332
54,BKN,BKN vs. CLE,2022-04-08,W,36,83,31,70,0.4428571428571428,7,23,0.3043478260869565,14,14,1.0,10,24,34,22,9,3,7,19,-5,1,CLE,88,31,61,0.5081967213114754,7,22,0.3181818181818182,19,24,0.7916666666666666,7,17,24,14,6,3,2,16,69.24802867383512,69.24802867383512,92.33070489844683,119.85900767072806,127.07942981956708,11,2022-04-08,24,27.666666666666668
55,ATL,ATL @ MIA,2022-04-08,L,36,87,32,68,0.4705882352941176,6,24,0.25,17,19,0.8947368421052632,11,23,34,13,10,6,0,17,-4,0,MIA,91,34,60,0.5666666666666667,9,21,0.4285714285714285,14,18,0.7777777777777778,4,21,25,17,11,5,1,15,73.21863425925926,73.21863425925926,97.62484567901234,118.82221087591229,124.28530103112665,-4,2022-04-08,24,29.0
56,TOR,TOR vs. PHI,2022-04-07,W,36,87,32,65,0.4923076923076923,11,25,0.44,12,15,0.8,7,25,32,16,10,6,3,12,2,1,PHI,85,29,56,0.5178571428571429,16,26,0.6153846153846154,11,15,0.7333333333333333,2,25,27,22,13,7,3,14,73.06796875,73.06796875,97.42395833333333,119.06722123023297,116.33004373068738,5,2022-04-07,24,29.0
57,SAS,SAS @ MIN,2022-04-07,L,36,82,30,67,0.4477611940298507,7,21,0.3333333333333333,15,20,0.75,7,27,34,24,12,4,3,15,-15,0,MIN,97,34,77,0.4415584415584415,15,39,0.3846153846153846,14,18,0.7777777777777778,11,28,39,21,8,8,2,19,78.98165789473684,78.98165789473684,105.30887719298245,103.821573496578,122.81332474595202,-6,2022-04-07,24,27.333333333333332
59,PHI,PHI @ TOR,2022-04-07,L,36,85,29,56,0.5178571428571429,16,26,0.6153846153846154,11,15,0.7333333333333333,2,25,27,22,13,7,3,14,-2,0,TOR,87,32,65,0.4923076923076923,11,25,0.44,12,15,0.8,7,25,32,16,10,6,3,12,73.06796875,73.06796875,97.42395833333333,116.33004373068738,119.06722123023297,-5,2022-04-07,24,28.333333333333332
60,ORL,ORL @ CHA,2022-04-07,L,36,82,31,71,0.4366197183098591,12,33,0.3636363636363636,8,10,0.8,5,27,32,22,12,5,3,17,-15,0,CHA,97,36,69,0.5217391304347826,8,26,0.3076923076923077,17,21,0.8095238095238095,7,31,38,19,8,7,9,13,79.59292483660131,79.59292483660131,106.12389978213508,103.02423257888844,121.87012878234364,-27,2022-04-07,24,27.333333333333332
62,MIN,MIN vs. SAS,2022-04-07,W,36,97,34,77,0.4415584415584415,15,39,0.3846153846153846,14,18,0.7777777777777778,11,28,39,21,8,8,2,19,15,1,SAS,82,30,67,0.4477611940298507,7,21,0.3333333333333333,15,20,0.75,7,27,34,24,12,4,3,15,78.98165789473684,78.98165789473684,105.30887719298245,122.81332474595202,103.821573496578,6,2022-04-07,24,32.333333333333336
63,MIL,MIL vs. BOS,2022-04-07,W,36,102,40,76,0.5263157894736842,10,29,0.3448275862068966,12,16,0.75,12,27,39,23,9,9,4,15,5,1,BOS,97,33,67,0.4925373134328358,18,40,0.45,13,16,0.8125,4,26,30,27,11,6,3,11,79.47079796264856,79.47079796264856,105.96106395019808,128.34903211609907,122.05741289472165,6,2022-04-07,24,34.0
